15233 58891
21 12118 0.250000
21 328 0.019608
22 21 0.045455
22 21 0.045455
23 24 1.000000
23 25 0.142857
23 586 0.019231
23 25 0.142857
23 25 0.142857
23 2504 0.142857
23 1272 0.090909
23 25 0.142857
23 586 0.019231
23 3044 0.100000
23 2276 0.058824
23 3044 0.100000
23 2276 0.058824
23 3743 0.058824
23 2276 0.058824
23 6025 0.142857
23 6025 0.142857
23 586 0.019231
23 1272 0.090909
23 3044 0.100000
23 1890 0.014493
23 982 0.066667
23 1890 0.014493
23 1890 0.014493
23 1890 0.014493
23 6025 0.142857
23 586 0.019231
23 6025 0.142857
23 586 0.019231
23 3743 0.058824
23 3743 0.058824
23 6025 0.142857
23 586 0.019231
23 3044 0.100000
23 3044 0.100000
23 1272 0.090909
23 586 0.019231
23 1272 0.090909
23 884 0.031250
23 14076 1.000000
23 14077 0.500000
23 1890 0.014493
23 1272 0.090909
23 6025 0.142857
23 586 0.019231
23 1272 0.090909
23 1272 0.090909
23 6025 0.142857
23 586 0.019231
23 884 0.031250
24 25 0.142857
25 2504 0.142857
25 1272 0.090909
25 586 0.019231
25 104 0.062500
25 2504 0.142857
26 27 0.009524
26 27 0.009524
26 27 0.009524
26 27 0.009524
26 27 0.009524
26 661 0.027778
26 1737 0.500000
26 1738 0.009434
26 635 0.031250
26 332 0.028571
26 27 0.009524
26 2493 0.333333
26 15 0.014493
26 27 0.009524
26 27 0.009524
26 27 0.009524
26 100 0.006623
26 1765 0.025000
26 27 0.009524
26 15 0.014493
26 1738 0.009434
26 15 0.014493
26 15 0.014493
26 15 0.014493
26 15 0.014493
26 15 0.014493
26 1645 0.029412
26 15 0.014493
26 1645 0.029412
26 15 0.014493
26 15 0.014493
26 1954 0.055556
26 15 0.014493
26 2807 0.017544
26 5118 0.142857
26 3792 0.045455
26 3792 0.045455
26 48 0.028571
26 234 0.030303
26 3792 0.045455
26 2830 0.035714
26 234 0.030303
26 11593 0.166667
26 3792 0.045455
26 2830 0.035714
26 15 0.014493
26 3792 0.045455
26 2830 0.035714
26 1556 0.333333
26 12774 0.250000
26 12775 0.250000
26 48 0.028571
26 234 0.030303
26 15 0.014493
26 11593 0.166667
27 1466 0.028571
27 383 0.030303
27 1466 0.028571
27 383 0.030303
27 100 0.006623
27 100 0.006623
27 100 0.006623
27 2117 0.031250
27 4902 0.083333
27 363 0.012821
27 6542 0.037037
27 6542 0.037037
27 6542 0.037037
27 6542 0.037037
28 29 0.333333
28 30 0.041667
28 100 0.006623
28 782 1.000000
28 784 0.010870
28 128 0.020408
28 100 0.006623
28 30 0.041667
28 30 0.041667
28 3600 0.500000
28 1890 0.014493
28 354 0.012987
28 709 0.029412
28 100 0.006623
28 3600 0.500000
28 100 0.006623
28 363 0.012821
28 6881 0.142857
28 155 1.000000
28 3197 0.111111
28 9659 0.166667
28 354 0.012987
28 10766 1.000000
28 85 0.027778
28 354 0.012987
28 11263 0.250000
28 6881 0.142857
28 6881 0.142857
28 6122 0.076923
28 11263 0.250000
28 11263 0.250000
28 417 0.050000
28 6881 0.142857
28 1691 0.045455
28 482 0.026316
29 30 0.041667
29 460 0.034483
29 460 0.034483
29 460 0.034483
29 9754 0.333333
29 460 0.034483
29 10072 0.500000
29 1796 0.058824
29 460 0.034483
29 1796 0.058824
29 1796 0.058824
29 1796 0.058824
29 460 0.034483
29 460 0.034483
29 1796 0.058824
29 460 0.034483
29 1796 0.058824
29 1796 0.058824
29 460 0.034483
29 1796 0.058824
29 30 0.041667
31 32 0.058824
31 33 0.031250
31 32 0.058824
31 33 0.031250
31 32 0.058824
31 33 0.031250
31 32 0.058824
31 33 0.031250
31 32 0.058824
31 33 0.031250
31 158 0.055556
31 32 0.058824
31 33 0.031250
31 32 0.058824
31 33 0.031250
31 2426 0.500000
31 33 0.031250
31 2726 0.111111
31 158 0.055556
31 2726 0.111111
31 158 0.055556
31 2726 0.111111
31 158 0.055556
31 2726 0.111111
31 158 0.055556
31 32 0.058824
31 33 0.031250
31 32 0.058824
31 33 0.031250
31 33 0.031250
31 2426 0.500000
31 33 0.031250
31 158 0.055556
31 32 0.058824
31 221 0.011628
31 158 0.055556
31 9739 0.500000
31 9740 0.250000
31 10999 0.333333
31 3433 0.333333
31 10999 0.333333
31 3286 0.071429
31 12981 0.200000
31 14896 0.333333
31 9740 0.250000
31 14896 0.333333
32 33 0.031250
32 33 0.031250
32 33 0.031250
32 33 0.031250
32 33 0.031250
32 33 0.031250
32 33 0.031250
32 184 0.166667
32 33 0.031250
32 33 0.031250
32 221 0.011628
32 7769 0.142857
32 382 0.014085
32 7769 0.142857
32 8016 0.333333
33 12 0.013889
33 12 0.013889
33 12 0.013889
33 12 0.013889
33 12 0.013889
33 12 0.013889
33 12 0.013889
34 35 0.333333
34 36 0.030303
34 35 0.333333
34 36 0.030303
35 36 0.030303
35 36 0.030303
35 36 0.030303
36 1172 0.052632
36 1172 0.052632
36 1172 0.052632
36 1172 0.052632
36 1172 0.052632
36 1172 0.052632
36 1172 0.052632
36 511 0.034483
36 1682 0.166667
36 792 0.125000
36 1172 0.052632
36 792 0.125000
36 3016 0.076923
36 5688 0.166667
36 636 0.090909
36 5688 0.166667
36 13089 0.500000
37 38 0.071429
37 39 0.066667
37 40 0.100000
37 38 0.071429
37 39 0.066667
37 40 0.100000
37 38 0.071429
37 39 0.066667
37 40 0.100000
37 337 0.250000
37 38 0.071429
37 39 0.066667
37 38 0.071429
37 1395 0.500000
37 1396 0.333333
37 1397 1.000000
37 38 0.071429
37 1377 0.038462
37 1378 0.052632
37 38 0.071429
37 1971 0.500000
37 257 0.083333
37 38 0.071429
37 38 0.071429
37 38 0.071429
37 38 0.071429
37 38 0.071429
37 3682 0.028571
37 38 0.071429
37 4818 0.500000
37 38 0.071429
37 3682 0.028571
37 2967 0.500000
37 257 0.083333
37 2967 0.500000
37 2259 0.100000
37 4825 0.166667
37 2259 0.100000
37 8977 0.333333
37 9197 0.500000
37 11591 0.250000
37 11591 0.250000
37 11345 0.111111
37 11345 0.111111
37 442 0.037037
37 13312 0.166667
37 9634 0.500000
37 4426 0.090909
37 11591 0.250000
37 13312 0.166667
37 4426 0.090909
37 14153 0.250000
37 14154 0.333333
37 14313 0.500000
37 13312 0.166667
37 14313 0.500000
37 11345 0.111111
37 14645 1.000000
37 14153 0.250000
37 13312 0.166667
37 11591 0.250000
38 39 0.066667
38 40 0.100000
38 39 0.066667
38 40 0.100000
38 39 0.066667
38 40 0.100000
38 39 0.066667
38 1395 0.500000
38 1396 0.333333
38 1377 0.038462
38 1378 0.052632
38 1572 0.200000
38 37 0.052632
38 1971 0.500000
38 257 0.083333
38 3682 0.028571
38 11048 0.250000
38 4435 0.052632
38 11048 0.250000
38 4435 0.052632
38 11048 0.250000
38 4435 0.052632
38 13850 0.500000
38 4435 0.052632
38 11048 0.250000
38 4435 0.052632
39 40 0.100000
39 40 0.100000
39 40 0.100000
39 37 0.052632
39 2707 0.071429
39 2707 0.071429
39 257 0.083333
39 257 0.083333
39 2707 0.071429
39 2707 0.071429
39 2851 0.058824
39 1282 0.038462
39 754 0.035714
39 1282 0.038462
39 1282 0.038462
39 13110 0.500000
39 2707 0.071429
39 2851 0.058824
40 2208 1.000000
40 2209 0.090909
40 2210 0.076923
40 4173 0.250000
40 2209 0.090909
40 4173 0.250000
40 2209 0.090909
40 4173 0.250000
40 2407 0.250000
40 5378 0.333333
41 42 0.033333
41 42 0.033333
41 42 0.033333
41 42 0.033333
41 42 0.033333
41 42 0.033333
41 314 0.200000
41 1628 0.500000
41 42 0.033333
41 42 0.033333
41 4471 0.050000
41 42 0.033333
41 4471 0.050000
41 1162 0.021277
41 1038 0.041667
41 2069 0.033333
41 4471 0.050000
41 4471 0.050000
41 11868 0.125000
41 11869 0.071429
41 8253 0.500000
41 11868 0.125000
41 11869 0.071429
41 11868 0.125000
41 11869 0.071429
41 11868 0.125000
41 11869 0.071429
41 11869 0.071429
41 11869 0.071429
41 14657 0.333333
42 187 0.142857
42 187 0.142857
42 314 0.200000
42 1367 1.000000
42 2372 0.200000
42 41 0.014925
42 12250 0.090909
42 12250 0.090909
43 44 0.019608
43 172 0.500000
43 44 0.019608
43 254 0.166667
43 44 0.019608
43 172 0.500000
43 44 0.019608
43 665 1.000000
43 44 0.019608
43 254 0.166667
43 44 0.019608
43 44 0.019608
43 1551 0.090909
43 14 0.055556
43 130 0.045455
43 465 0.076923
43 1551 0.090909
43 465 0.076923
43 465 0.076923
43 130 0.045455
43 88 0.013158
43 363 0.012821
43 130 0.045455
43 88 0.013158
43 254 0.166667
43 130 0.045455
43 465 0.076923
43 8500 0.333333
43 8500 0.333333
43 9001 0.142857
43 277 0.071429
43 8500 0.333333
43 205 0.050000
43 610 0.028571
43 2634 0.029412
43 10666 0.333333
43 12347 0.500000
43 12347 0.500000
43 14184 1.000000
43 10666 0.333333
44 5489 0.250000
44 5489 0.250000
44 11252 0.058824
44 11252 0.058824
44 11252 0.058824
44 11252 0.058824
44 11252 0.058824
44 11252 0.058824
45 46 0.022222
46 201 0.020833
46 201 0.020833
46 201 0.020833
46 201 0.020833
46 2393 0.166667
46 2393 0.166667
46 201 0.020833
46 201 0.020833
46 201 0.020833
46 11774 0.333333
46 11774 0.333333
46 14554 0.500000
46 14554 0.500000
47 48 0.028571
47 92 0.027027
47 92 0.027027
47 119 0.142857
47 319 0.142857
47 320 0.041667
47 320 0.041667
47 319 0.142857
47 9 0.010000
47 1842 0.142857
47 320 0.041667
47 456 1.000000
47 584 0.111111
47 592 1.000000
47 9 0.010000
47 1385 0.500000
47 319 0.142857
47 1842 0.142857
47 319 0.142857
47 4664 0.333333
47 1164 0.083333
47 4664 0.333333
47 1164 0.083333
47 4664 0.333333
47 1164 0.083333
47 1164 0.083333
47 653 0.031250
47 1164 0.083333
47 653 0.031250
48 234 0.030303
48 88 0.013158
48 153 0.038462
48 153 0.038462
48 153 0.038462
48 88 0.013158
48 234 0.030303
48 234 0.030303
48 725 0.052632
48 234 0.030303
48 612 0.014493
48 153 0.038462
48 612 0.014493
48 8126 0.166667
48 88 0.013158
48 88 0.013158
48 2830 0.035714
48 610 0.028571
48 88 0.013158
48 2106 0.142857
48 234 0.030303
48 612 0.014493
48 3738 0.111111
48 2717 0.031250
48 15 0.014493
48 2830 0.035714
48 2717 0.031250
48 15 0.014493
48 8735 0.200000
48 153 0.038462
48 234 0.030303
48 15 0.014493
48 612 0.014493
48 6018 0.025641
48 6018 0.025641
49 50 0.090909
49 1591 0.125000
49 486 0.043478
49 487 0.017241
49 159 0.017544
50 201 0.020833
50 46 0.022222
50 46 0.022222
50 46 0.022222
50 46 0.022222
51 52 0.125000
51 53 0.166667
51 54 0.041667
51 55 0.100000
51 53 0.166667
51 217 1.000000
51 218 0.058824
51 53 0.166667
51 818 0.066667
51 819 0.076923
51 818 0.066667
51 819 0.076923
51 53 0.166667
51 55 0.100000
51 818 0.066667
51 1632 0.062500
51 819 0.076923
51 818 0.066667
51 1632 0.062500
51 819 0.076923
51 818 0.066667
51 819 0.076923
51 818 0.066667
51 818 0.066667
51 54 0.041667
51 818 0.066667
51 54 0.041667
51 10396 0.333333
51 5253 0.062500
51 10660 0.166667
51 10913 0.500000
51 54 0.041667
51 10660 0.166667
51 54 0.041667
51 2161 0.028571
51 10660 0.166667
51 11097 0.111111
51 4878 0.029412
51 11396 0.200000
51 11097 0.111111
51 4878 0.029412
51 11097 0.111111
51 4878 0.029412
51 10660 0.166667
51 54 0.041667
51 2161 0.028571
51 10396 0.333333
51 5253 0.062500
51 10660 0.166667
52 53 0.166667
52 54 0.041667
52 55 0.100000
52 2253 1.000000
52 2254 0.250000
52 2255 0.333333
52 3057 0.500000
53 54 0.041667
53 55 0.100000
53 55 0.100000
53 791 0.022222
53 791 0.022222
53 791 0.022222
54 55 0.100000
54 55 0.100000
54 791 0.022222
54 55 0.100000
54 2161 0.028571
54 2161 0.028571
56 57 0.062500
56 231 0.032258
56 8733 0.066667
56 8733 0.066667
56 1755 0.035714
56 2071 0.025641
56 13559 0.100000
56 13560 0.062500
56 13559 0.100000
56 13560 0.062500
56 13955 1.000000
56 13559 0.100000
56 14158 0.125000
56 13560 0.062500
56 13559 0.100000
56 14158 0.125000
56 13560 0.062500
57 10750 0.333333
57 10751 0.200000
57 10752 0.166667
57 10752 0.166667
57 10750 0.333333
57 10751 0.200000
57 10752 0.166667
57 11125 0.500000
57 10321 0.111111
57 10789 0.076923
58 59 1.000000
58 60 0.020833
58 61 0.033333
58 148 1.000000
58 60 0.020833
58 93 0.250000
59 60 0.020833
59 61 0.033333
60 61 0.033333
60 93 0.250000
60 94 0.076923
60 95 0.090909
60 93 0.250000
60 61 0.033333
60 61 0.033333
60 171 0.037037
60 61 0.033333
60 61 0.033333
60 171 0.037037
60 61 0.033333
60 1546 0.045455
60 1781 0.125000
60 1781 0.125000
60 61 0.033333
60 6012 1.000000
60 61 0.033333
60 5682 0.023256
60 2167 0.021277
60 5682 0.023256
60 2167 0.021277
60 752 0.019231
60 5682 0.023256
60 2167 0.021277
60 752 0.019231
60 2955 0.040000
60 5682 0.023256
60 6577 0.500000
60 2167 0.021277
60 5682 0.023256
60 2167 0.021277
60 5682 0.023256
60 2167 0.021277
60 5682 0.023256
60 5682 0.023256
60 2167 0.021277
60 3067 0.066667
60 5661 0.038462
60 5682 0.023256
60 5682 0.023256
60 5682 0.023256
60 5682 0.023256
60 5925 0.033333
60 5682 0.023256
60 6876 0.055556
60 6876 0.055556
60 5682 0.023256
60 2167 0.021277
60 6876 0.055556
60 14297 0.111111
60 6876 0.055556
60 14297 0.111111
60 14854 1.000000
60 6876 0.055556
61 171 0.037037
61 171 0.037037
61 171 0.037037
61 171 0.037037
61 171 0.037037
61 1546 0.045455
61 171 0.037037
61 171 0.037037
61 171 0.037037
61 171 0.037037
61 3486 1.000000
62 63 0.071429
62 335 0.062500
62 210 0.016393
62 5233 0.142857
63 4666 1.000000
63 4667 0.500000
63 736 0.018182
63 1222 0.058824
63 736 0.018182
63 1222 0.058824
64 65 0.200000
64 65 0.200000
64 525 0.033333
64 2178 0.142857
64 525 0.033333
64 224 0.100000
64 425 0.500000
64 319 0.142857
64 305 0.062500
64 224 0.100000
64 224 0.100000
66 19 0.035714
66 20 0.030303
66 345 0.333333
66 346 0.041667
66 653 0.031250
66 653 0.031250
66 346 0.041667
66 872 0.250000
66 873 0.066667
66 874 0.083333
66 876 0.050000
66 653 0.031250
66 1215 0.066667
66 874 0.083333
66 345 0.333333
66 653 0.031250
66 346 0.041667
66 538 0.250000
66 876 0.050000
66 653 0.031250
66 1540 0.250000
66 876 0.050000
66 653 0.031250
66 538 0.250000
66 874 0.083333
66 653 0.031250
66 2479 0.500000
66 874 0.083333
66 872 0.250000
66 873 0.066667
66 346 0.041667
66 653 0.031250
66 1540 0.250000
66 876 0.050000
66 3418 0.125000
66 1496 0.076923
66 876 0.050000
66 876 0.050000
66 1496 0.076923
66 1496 0.076923
66 1215 0.066667
66 879 0.090909
66 880 0.047619
66 499 0.200000
66 500 0.071429
66 6877 1.000000
66 1519 0.066667
66 2970 1.000000
66 3671 0.333333
66 653 0.031250
66 1496 0.076923
66 1984 0.142857
66 5 0.037037
66 8144 1.000000
66 8145 0.333333
66 6087 0.166667
66 1496 0.076923
66 297 0.125000
66 876 0.050000
66 653 0.031250
66 2005 0.041667
66 345 0.333333
66 8145 0.333333
66 6087 0.166667
66 2005 0.041667
66 346 0.041667
66 562 0.011364
66 297 0.125000
66 2005 0.041667
66 346 0.041667
66 562 0.011364
66 1492 0.013889
66 872 0.250000
66 873 0.066667
66 297 0.125000
66 346 0.041667
66 2704 0.026316
66 1492 0.013889
66 6201 1.000000
66 653 0.031250
66 2005 0.041667
66 876 0.050000
66 2005 0.041667
66 876 0.050000
66 2005 0.041667
66 346 0.041667
66 2704 0.026316
66 1492 0.013889
66 297 0.125000
66 2709 0.125000
66 9372 0.111111
66 2704 0.026316
66 346 0.041667
66 2704 0.026316
66 1492 0.013889
66 297 0.125000
66 2709 0.125000
66 9372 0.111111
66 2704 0.026316
66 1472 0.333333
66 1215 0.066667
66 10543 0.111111
66 834 0.018868
66 876 0.050000
66 2005 0.041667
66 346 0.041667
66 562 0.011364
66 1492 0.013889
66 297 0.125000
66 2709 0.125000
66 9372 0.111111
66 2704 0.026316
66 297 0.125000
66 2709 0.125000
66 12694 0.200000
66 2704 0.026316
66 876 0.050000
66 2005 0.041667
66 876 0.050000
66 2005 0.041667
66 11036 0.083333
66 6235 0.166667
66 876 0.050000
66 2005 0.041667
66 6479 0.200000
67 68 0.062500
67 957 0.125000
67 2028 0.333333
67 1387 0.090909
67 2858 0.142857
67 2028 0.333333
67 2371 0.090909
67 2371 0.090909
67 2371 0.090909
67 957 0.125000
67 1044 0.066667
67 1692 0.013889
67 10405 1.000000
67 1044 0.066667
67 1692 0.013889
67 957 0.125000
67 1044 0.066667
67 1692 0.013889
67 3078 0.071429
67 625 0.030303
67 13698 0.500000
67 3078 0.071429
67 13698 0.500000
67 3078 0.071429
67 625 0.030303
67 3078 0.071429
67 3079 0.125000
68 3 0.052632
68 12 0.013889
68 100 0.006623
68 36 0.030303
68 511 0.034483
68 1682 0.166667
68 3 0.052632
68 36 0.030303
68 2726 0.111111
68 36 0.030303
68 2726 0.111111
68 881 0.125000
68 5204 0.200000
69 70 0.125000
69 70 0.125000
69 70 0.125000
69 70 0.125000
69 147 0.111111
69 2838 0.076923
69 147 0.111111
69 2838 0.076923
69 147 0.111111
69 2838 0.076923
69 70 0.125000
69 70 0.125000
69 2838 0.076923
69 70 0.125000
69 22 0.055556
70 8391 0.333333
70 1943 0.024390
70 8391 0.333333
70 13104 0.500000
71 72 0.090909
71 72 0.090909
71 72 0.090909
71 72 0.090909
71 4674 1.000000
71 72 0.090909
71 72 0.090909
71 8377 0.125000
71 8378 0.250000
71 8379 0.125000
71 1570 0.043478
71 9456 1.000000
71 2209 0.090909
71 1570 0.043478
71 8377 0.125000
71 8379 0.125000
71 1570 0.043478
71 10291 0.090909
71 8377 0.125000
71 8379 0.125000
71 1570 0.043478
71 10291 0.090909
71 11003 1.000000
71 1570 0.043478
71 10291 0.090909
71 1570 0.043478
71 8377 0.125000
72 1431 0.033333
72 1431 0.033333
72 1431 0.033333
72 3883 1.000000
72 3884 0.500000
72 4908 0.500000
72 4908 0.500000
72 5703 1.000000
72 41 0.014925
72 3779 0.100000
72 1431 0.033333
72 3779 0.100000
72 1431 0.033333
72 3779 0.100000
72 1431 0.033333
72 1431 0.033333
72 1431 0.033333
72 1431 0.033333
72 1431 0.033333
72 1431 0.033333
72 525 0.033333
72 5893 0.027027
72 1431 0.033333
72 525 0.033333
72 525 0.033333
72 525 0.033333
72 539 0.025641
72 8508 0.062500
72 8509 0.037037
72 1431 0.033333
72 1431 0.033333
72 525 0.033333
72 539 0.025641
72 8508 0.062500
72 8509 0.037037
72 525 0.033333
72 8509 0.037037
72 1431 0.033333
72 525 0.033333
72 539 0.025641
72 8508 0.062500
72 8509 0.037037
72 539 0.025641
72 8508 0.062500
72 8509 0.037037
72 1431 0.033333
72 5866 0.200000
72 525 0.033333
72 7659 0.125000
72 6089 0.035714
72 13318 0.333333
72 1431 0.033333
72 1431 0.033333
72 1431 0.033333
72 1431 0.033333
72 525 0.033333
72 1431 0.033333
72 3779 0.100000
72 1431 0.033333
73 74 0.041667
73 74 0.041667
73 645 0.090909
73 361 0.047619
73 361 0.047619
73 361 0.047619
73 74 0.041667
73 632 0.026316
73 632 0.026316
73 632 0.026316
73 281 0.142857
73 8038 0.166667
73 632 0.026316
73 632 0.026316
74 645 0.090909
74 269 0.083333
74 3620 0.090909
74 3620 0.090909
74 3620 0.090909
74 3620 0.090909
74 645 0.090909
74 3620 0.090909
74 645 0.090909
74 3620 0.090909
74 100 0.006623
74 645 0.090909
74 5217 0.083333
74 5217 0.083333
74 5217 0.083333
74 359 0.009524
74 760 0.062500
74 9468 0.142857
74 9468 0.142857
74 12117 0.111111
74 269 0.083333
74 13212 0.500000
74 12117 0.111111
74 760 0.062500
74 12117 0.111111
74 13212 0.500000
74 11589 0.333333
74 5217 0.083333
74 12117 0.111111
75 76 0.014706
75 77 0.011628
